#00)dt*it                     01)sub_en                     02)spring_en                  03)pos_cm[0]                  04)Vcm[0]                     
0.025                         -25.57750286045315            3.91673736869093e-06          -1.4210854715202e-16          -1.976636085712635e-19        
0.05                          -25.80538067370443            6.078618369219905e-05         -1.4210854715202e-16          -1.273395451584225e-18        
0.07500000000000001           -26.17676492248802            0.0002984357600279456         -2.842170943040401e-16        8.912141857830847e-19         
0.1                           -26.68464052565014            0.0009145435307113944         -1.4210854715202e-16          -7.112366251504909e-19        
0.125                         -27.32144439668632            0.002164495707250675          7.105427357601002e-17         3.157196726277789e-18         
0.15                          -28.07860326318205            0.004350136428921098          -4.973799150320702e-16        -2.905661822261152e-18        
0.175                         -28.94606255810538            0.007809339766288999          -2.1316282072803e-16          -2.099015405931937e-18        
0.2                           -29.91185918289415            0.01290633537779334           7.105427357601002e-17         -4.163336342344337e-18        
0.225                         -30.96179317666902            0.02002272988590207           -7.105427357601002e-17        -2.775557561562892e-18        
0.25                          -32.07925398161935            0.02954919154681048           0                             4.996003610813204e-18         
0.275                         -33.24525297806066            0.04187780996769885           -1.4210854715202e-16          3.191891195797325e-18         
0.3                           -34.43870248458165            0.0573952044710601            -7.105427357601002e-17        -2.081668171172168e-18        
0.325                         -35.63696079355432            0.076476526519489             -2.842170943040401e-16        -5.481726184086711e-18        
0.35                          -36.81663333586662            0.09948056880603645           -2.1316282072803e-16          5.273559366969494e-18         
0.3750000000000001            -37.95458466611701            0.126746236646634             1.4210854715202e-16           3.608224830031759e-18         
0.4000000000000001            -39.02908021466288            0.1585906357827552            1.4210854715202e-16           1.387778780781446e-19         
0.4250000000000001            -40.02094802251217            0.1953089688378226            0                             9.020562075079397e-18         
0.4500000000000001            -40.91463629280349            0.2371763047031406            -4.973799150320702e-16        -5.551115123125783e-19        
0.4750000000000001            -41.69904760631807            0.2844510987019006            -1.4210854715202e-16          1.52655665885959e-18          
0.5000000000000001            -42.36805589155273            0.3373801173823004            -3.552713678800501e-16        4.579669976578771e-18         
0.5250000000000001            -42.9206535809958             0.3962041901480118            7.105427357601002e-17         8.881784197001253e-18         
0.5500000000000002            -43.36072561143642            0.4611640024079651            -7.105427357601002e-17        -5.412337245047638e-18        
0.5750000000000002            -43.69649403684339            0.5325049872838478            1.4210854715202e-16           -1.110223024625157e-18        
0.6000000000000002            -43.93971308548337            0.6104802792079581            -7.105427357601002e-17        6.245004513516506e-18         
0.6250000000000002            -44.10471398566035            0.6953506637413923            -1.4210854715202e-16          -1.249000902703301e-18        
0.6500000000000002            -44.20740072591985            0.7873804841814938            2.1316282072803e-16           -4.440892098500626e-18        
0.6750000000000003            -44.26428501571911            0.8868285340074425            7.105427357601002e-17         1.387778780781446e-19         
0.7000000000000003            -44.29162646309035            0.9939330669359716            -3.552713678800501e-16        -1.387778780781446e-18        
0.7250000000000003            -44.30471842256578            1.108890199433863             -3.552713678800501e-16        -4.996003610813204e-18        
0.7500000000000003            -44.31733625177291            1.231825194074982             2.842170943040401e-16         2.775557561562891e-19         
0.7750000000000004            -44.34134627082218            1.362756456789894             -1.4210854715202e-16          -1.942890293094024e-18        
0.8000000000000004            -44.38646182245053            1.501552663570294             -1.4210854715202e-16          -2.983724378680108e-18        
0.8250000000000004            -44.46012692877676            1.647884344319861             1.4210854715202e-16           -4.163336342344337e-19        
0.8500000000000004            -44.56750582417949            1.801172552896895             -2.1316282072803e-16          2.081668171172168e-19         
0.8750000000000004            -44.71155569823319            1.960538761178103             1.4210854715202e-16           3.018418848199644e-18         
0.9000000000000005            -44.89315880028429            2.124761431147328             -2.1316282072803e-16          -4.128641872824801e-18        
0.9250000000000005            -45.1112898246313             2.292245157830565             -2.1316282072803e-16          -4.978656376053437e-18        
0.9500000000000005            -45.36319760314024            2.461007416893147             4.263256414560601e-16         -1.873501354054952e-18        
0.9750000000000005            -45.64458864432611            2.628685818315341             1.4210854715202e-16           -1.734723475976807e-18        
1                             -45.94981256885893            2.792566174619589             1.4210854715202e-16           3.95516952522712e-18          
1.025                         -46.27206124133487            2.94962993854603              7.105427357601002e-17         1.387778780781446e-18         
1.05                          -46.60359892127173            3.096619570905874             7.105427357601002e-17         1.52655665885959e-18          
1.075                         -46.93603711719966            3.230122211944128             2.842170943040401e-16         0                             
1.1                           -47.26065661779553            3.346674466149776             -2.842170943040401e-16        -3.747002708109904e-18        
1.125                         -47.56876538911294            3.442892316296146             7.105427357601002e-17         4.996003610813204e-18         
1.15                          -47.85207027122266            3.515628517765195             2.1316282072803e-16           -1.387778780781446e-18        
1.175                         -48.10303618430245            3.562154731164876             0                             1.942890293094024e-18         
1.2                           -48.31520910450958            3.58035803421827              -7.105427357601002e-17        2.220446049250313e-18         
1.225                         -48.48348594618058            3.56893342560765              7.105427357601002e-17         -2.220446049250313e-18        
1.25                          -48.60432214757114            3.527548077936836             -2.842170943040401e-16        4.163336342344337e-19         
1.274999999999999             -48.6758732403822             3.456951582601227             -1.4210854715202e-16          -2.220446049250313e-18        
1.299999999999999             -48.69806865723494            3.359010262123955             -1.4210854715202e-16          9.714451465470121e-19         
1.324999999999999             -48.67261514333426            3.236652540271721             -1.4210854715202e-16          -1.804112415015879e-18        
1.349999999999999             -48.60292517425546            3.093724361251014             -2.842170943040401e-16        -1.52655665885959e-18         
1.374999999999999             -48.49396542093349            2.934766698839667             -3.552713678800501e-16        2.775557561562891e-19         
1.399999999999999             -48.35202313915053            2.764738204003012             2.842170943040401e-16         -2.359223927328458e-18        
1.424999999999999             -48.1843951072181             2.588713188353421             7.105427357601002e-17         -1.52655665885959e-18         
1.449999999999999             -47.99901326286496            2.411587157694782             2.1316282072803e-16           -2.42861286636753e-18         
1.474999999999999             -47.80403119925391            2.237819039746874             0                             -2.081668171172168e-19        
1.499999999999999             -47.60740336921272            2.071232156190638             -7.105427357601002e-17        -1.804112415015879e-18        
1.524999999999999             -47.41649195671133            1.914886542294678             -2.1316282072803e-16          9.020562075079397e-19         
1.549999999999998             -47.23773386975738            1.77102538719219              0                             -5.204170427930421e-19        
1.574999999999998             -47.07639275096884            1.641089712080009             -2.1316282072803e-16          -2.42861286636753e-19         
1.599999999999998             -46.93641002133484            1.525789041837148             0                             1.942890293094024e-18         
1.624999999999998             -46.82035721481396            1.425212200985003             -5.684341886080802e-16        -3.816391647148976e-19        
1.649999999999998             -46.72948129434541            1.338961305793264             -1.4210854715202e-16          -2.220446049250313e-18        
1.674999999999998             -46.6638268904989             1.266293087578866             1.4210854715202e-16           -7.28583859910259e-19         
1.699999999999998             -46.62241500504441            1.206254182651709             7.105427357601002e-17         7.979727989493313e-19         
1.724999999999998             -46.60345649614897            1.157800319207649             0                             5.551115123125783e-19         
1.749999999999998             -46.60457997679763            1.119892888458094             7.105427357601002e-17         -1.665334536937735e-18        
1.774999999999998             -46.62305662541014            1.091569773015314             -2.1316282072803e-16          2.706168622523819e-18         
1.799999999999998             -46.65600809952281            1.071990270194786             -2.842170943040401e-16        -2.081668171172168e-19        
1.824999999999998             -46.7005875529751             1.060456304169634             2.842170943040401e-16         -4.85722573273506e-19         
1.849999999999997             -46.75412731228371            1.056413790684192             -7.105427357601002e-17        4.85722573273506e-19          
1.874999999999997             -46.81424986522539            1.05943897861077              -4.973799150320702e-16        -1.387778780781446e-19        
1.899999999999997             -46.87894140537893            1.069214879367662             -3.552713678800501e-16        3.330669073875469e-18         
1.924999999999997             -46.9465892938985             1.08550259282309              7.105427357601002e-17         -7.632783294297951e-19        
1.949999999999997             -47.01598650928297            1.108111574198273             0                             2.012279232133096e-18         
1.974999999999997             -47.08630752019955            1.136871820189092             4.263256414560601e-16         5.551115123125783e-19         
1.999999999999997             -47.15706107702344            1.171609760774377             2.842170943040401e-16         1.665334536937735e-18         
2.024999999999997             -47.22802618662374            1.212128501683426             7.105427357601002e-17         -1.179611963664229e-18        
2.049999999999997             -47.29917799345616            1.25819212659912              -3.552713678800501e-16        1.52655665885959e-18          
2.074999999999997             -47.37061039421128            1.309513154649283             7.105427357601002e-17         -4.163336342344337e-19        
2.099999999999997             -47.44246190612175            1.365742020920858             0                             4.163336342344337e-19         
2.124999999999996             -47.51485054159441            1.426457605977603             0                             -4.163336342344337e-19        
2.149999999999996             -47.58782220167172            1.491158319865731             0                             1.665334536937735e-18         
2.174999999999996             -47.66131544217331            1.559253924183239             -7.105427357601002e-17        6.938893903907229e-19         
2.199999999999996             -47.73514353150954            1.630058987307036             -1.4210854715202e-16          -1.734723475976807e-18        
